Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-8,18A-8 xd,18A-8,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-10,18A-10 xd,18A-10,
Ceiling below roof joists,,,,,Tar and gravel,Light,None,,18B-0 xl,18B-0,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-11,18B-11 xl,18B-11,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-13,18B-13 xl,18B-13,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-15,18B-15 xl,18B-15,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-19,18B-19 xl,18B-19,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-21,18B-21 xl,18B-21,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-30,18B-30 xl,18B-30,
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-38,18B-38 xl,18B-38,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-2,18B-2 xl,18B-2,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-3,18B-3 xl,18B-3,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-4,18B-4 xl,18B-4,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-5,18B-5 xl,18B-5,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-6,18B-6 xl,18B-6,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-8,18B-8 xl,18B-8,
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-10,18B-10 xl,18B-10,
Ceiling below roof joists,,,,,Tile,Dark,None,,18B-0 td,18B-0,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-11,18B-11 td,18B-11,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-13,18B-13 td,18B-13,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-15,18B-15 td,18B-15,
