Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-30,16DF-30 al,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-38,16DF-38 al,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-44,16DF-44 al,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-50,16DF-50 al,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-56,16DF-56 al,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,None,16CF-0 zd,16C-0,"No CF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-7,16CF-7 zd,16C-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-11,16CF-11 zd,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-13,16CF-13 zd,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-15,16CF-15 zd,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-19,16CF-19 zd,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-21,16CF-21 zd,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-25,16CF-25 zd,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-28,16CF-28 zd,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-30,16CF-30 zd,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-38,16CF-38 zd,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-44,16CF-44 zd,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-50,16CF-50 zd,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Dark,,R-56,16CF-56 zd,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,None,16DF-0 zl,16D-0,"No DF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-7,16DF-7 zl,16D-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-11,16DF-11 zl,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-13,16DF-13 zl,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-15,16DF-15 zl,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-19,16DF-19 zl,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-21,16DF-21 zl,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-25,16DF-25 zl,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-28,16DF-28 zl,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-30,16DF-30 zl,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-38,16DF-38 zl,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-44,16DF-44 zl,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-50,16DF-50 zl,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Membrane,Light,,R-56,16DF-56 zl,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,None,16CF-0 md,16C-0,"No CF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-7,16CF-7 md,16C-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-11,16CF-11 md,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-13,16CF-13 md,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-15,16CF-15 md,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-19,16CF-19 md,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-21,16CF-21 md,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-25,16CF-25 md,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-28,16CF-28 md,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-30,16CF-30 md,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-38,16CF-38 md,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-44,16CF-44 md,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-50,16CF-50 md,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Dark,,R-56,16CF-56 md,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,None,16DF-0 ml,16D-0,"No DF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-7,16DF-7 ml,16D-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-11,16DF-11 ml,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-13,16DF-13 ml,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-15,16DF-15 ml,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-19,16DF-19 ml,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-21,16DF-21 ml,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-25,16DF-25 ml,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-28,16DF-28 ml,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-30,16DF-30 ml,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-38,16DF-38 ml,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-44,16DF-44 ml,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-50,16DF-50 ml,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Metal,Light,,R-56,16DF-56 ml,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,None,16CF-0 xd,16C-0,"No CF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-7,16CF-7 xd,16C-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-11,16CF-11 xd,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-13,16CF-13 xd,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-15,16CF-15 xd,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-19,16CF-19 xd,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-21,16CF-21 xd,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-25,16CF-25 xd,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-28,16CF-28 xd,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-30,16CF-30 xd,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-38,16CF-38 xd,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-44,16CF-44 xd,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-50,16CF-50 xd,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Dark,,R-56,16CF-56 xd,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,None,16DF-0 xl,16D-0,"No DF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-7,16DF-7 xl,16D-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-11,16DF-11 xl,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-13,16DF-13 xl,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-15,16DF-15 xl,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-19,16DF-19 xl,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-21,16DF-21 xl,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-25,16DF-25 xl,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-28,16DF-28 xl,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-30,16DF-30 xl,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-38,16DF-38 xl,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-44,16DF-44 xl,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-50,16DF-50 xl,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Tar and gravel,Light,,R-56,16DF-56 xl,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,None,16DF-0 wl,16D-0,"No DF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-7,16DF-7 wl,16D-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-11,16DF-11 wl,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-13,16DF-13 wl,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-15,16DF-15 wl,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-19,16DF-19 wl,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-21,16DF-21 wl,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-25,16DF-25 wl,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-28,16DF-28 wl,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-30,16DF-30 wl,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-38,16DF-38 wl,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-44,16DF-44 wl,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-50,16DF-50 wl,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Wood shakes,Light,,R-56,16DF-56 wl,16D-56,
